MGI Gene/Marker ID,Symbol,Name,Chr,Qualifier,Annotated Term,Context,Proteoform,Evidence,Inferred From,Reference(s)
MGI:3583896,A430033K04Rik,RIKEN cDNA A430033K04 gene,5,,regulation of osteoblast differentiation,,,IMP,,J:314087 
MGI:99678,Actn3,actinin alpha 3,19,NOT,osteoblast differentiation,,,IMP,,J:176471 
MGI:87911,Acvr1,"activin A receptor, type 1",2,,positive regulation of osteoblast differentiation,,,ISO,Q04771 ,J:164563 
MGI:102806,Acvr2a,activin receptor IIA,2,,positive regulation of osteoblast differentiation,,,ISO,P27037 ,J:164563 
MGI:87912,Acvr2b,activin receptor IIB,9,,positive regulation of osteoblast differentiation,,,ISO,Q13705 ,J:164563 
MGI:1889575,Adar,"adenosine deaminase, RNA-specific",3,,osteoblast differentiation,,,IMP,MGI:2182767 MGI:3032439 ,J:192270 
MGI:105043,Ahr,aryl-hydrocarbon receptor,12,,negative regulation of osteoblast differentiation,,,ISO,RGD:2074 ,J:155856 
MGI:87986,Akt1,thymoma viral proto-oncogene 1,12,,osteoblast differentiation,,,IGI,MGI:88177 ,J:146446 
MGI:87986,Akt1,thymoma viral proto-oncogene 1,12,,osteoblast differentiation,,,IGI,MGI:96440 ,J:146446 
MGI:88039,Apc,"APC, WNT signaling pathway regulator",18,,regulation of osteoblast differentiation,"happens in femur,regulates osteoblast differentiation",,IMP,MGI:1857966 ,J:99904 
MGI:88068,Areg,amphiregulin,5,,negative regulation of osteoblast differentiation,,,ISO,RGD:2149 ,J:155856 
MGI:1913653,Asf1a,anti-silencing function 1A histone chaperone,10,,osteoblast differentiation,,,IGI,MGI:1097686 ,J:185969 
MGI:1913653,Asf1a,anti-silencing function 1A histone chaperone,10,,osteoblast differentiation,,,IGI,MGI:1101768 ,J:185969 
MGI:88096,Atf4,activating transcription factor 4,15,,regulation of osteoblast differentiation,,,IMP,,J:89403 
MGI:88096,Atf4,activating transcription factor 4,15,,regulation of osteoblast differentiation,,,ISO,P18848 ,J:164563 
MGI:1918918,Atraid,all-trans retinoic acid induced differentiation factor,5,,positive regulation of osteoblast differentiation,,,IBA,PTN002698240 ,J:265628 
MGI:1918918,Atraid,all-trans retinoic acid induced differentiation factor,5,,positive regulation of osteoblast differentiation,,,ISO,Q6UW56 ,J:164563 
MGI:1270862,Axin2,axin 2,11,,negative regulation of osteoblast differentiation,negatively regulates osteoblast differentiation,,IMP,MGI:3579503 ,J:98523 
MGI:1270862,Axin2,axin 2,11,,osteoblast differentiation,"happens in cranium,results in the differentiation of osteoblast,results in the differentiation of UBERON:0000061,happens in chondrocranium",,IMP,MGI:3579503 ,J:98523 
MGI:1915260,Bambi,BMP and activin membrane-bound inhibitor,18,,negative regulation of osteoblast differentiation,,,ISO,Q13145 ,J:164563 
MGI:88156,Bglap,bone gamma carboxyglutamate protein,3,,osteoblast differentiation,,,IBA,PTN002681863 ,J:265628 
MGI:88157,Bglap2,bone gamma-carboxyglutamate protein 2,3,,osteoblast differentiation,,,IBA,PTN002681863 ,J:265628 
MGI:88155,Bglap3,bone gamma-carboxyglutamate protein 3,3,,osteoblast differentiation,,,IBA,PTN002681863 ,J:265628 
MGI:88177,Bmp2,bone morphogenetic protein 2,2,,osteoblast differentiation,,,IDA,,J:146446 
MGI:88177,Bmp2,bone morphogenetic protein 2,2,,osteoblast differentiation,,,IDA,,J:150546 
MGI:88177,Bmp2,bone morphogenetic protein 2,2,,osteoblast differentiation,is a part of bone development,,IDA,,J:163789 
MGI:88177,Bmp2,bone morphogenetic protein 2,2,,osteoblast differentiation,,,IDA,,J:299402 
MGI:88177,Bmp2,bone morphogenetic protein 2,2,,osteoblast differentiation,"results in the differentiation of osteoblast,results in the differentiation of UBERON:0000061",,IGI,MGI:101948 ,J:150546 
MGI:88177,Bmp2,bone morphogenetic protein 2,2,,osteoblast differentiation,"results in the differentiation of osteoblast,results in the differentiation of UBERON:0000061",,IGI,MGI:1922667 ,J:150546 
MGI:88177,Bmp2,bone morphogenetic protein 2,2,,osteoblast differentiation,,,IGI,MGI:87986 ,J:146446 
MGI:88177,Bmp2,bone morphogenetic protein 2,2,,osteoblast differentiation,"results in the differentiation of osteoblast,results in the differentiation of UBERON:0000061",,IGI,MGI:88182 ,J:102448 
MGI:88177,Bmp2,bone morphogenetic protein 2,2,,osteoblast differentiation,,,IGI,MGI:96440 ,J:146446 
MGI:88177,Bmp2,bone morphogenetic protein 2,2,,osteoblast differentiation,"results in the differentiation of osteoblast,results in the differentiation of UBERON:0000061",,IGI,MGI:99829 ,J:95960 
